epoch,loss_train,loss_val
1,2853.16455078125,3329.24072265625
2,2641.397216796875,3102.57958984375
3,2452.527099609375,2907.531494140625
4,2292.11962890625,2735.438232421875
5,2151.8837890625,2587.74072265625
6,2031.7021484375,2459.775634765625
7,1928.7684326171875,2348.37744140625
8,1838.57666015625,2250.945556640625
9,1760.896728515625,2166.81689453125
10,1694.010009765625,2092.93212890625
11,1635.4375,2029.9791259765625
12,1585.8594970703125,1974.3028564453125
13,1541.989013671875,1926.873046875
14,1504.9710693359375,1884.1861572265625
15,1472.0992431640625,1846.8753662109375
16,1443.6693115234375,1814.367431640625
17,1419.0736083984375,1785.510009765625
18,1397.2314453125,1759.7191162109375
19,1377.6639404296875,1737.3115234375
20,1359.7740478515625,1718.0081787109375
21,1343.9774169921875,1700.463134765625
22,1329.57470703125,1684.5194091796875
23,1316.1947021484375,1669.5322265625
24,1303.867919921875,1655.535400390625
25,1291.9931640625,1643.1202392578125
26,1281.0435791015625,1632.046630859375
27,1270.8038330078125,1621.3553466796875
28,1260.96044921875,1610.9371337890625
29,1251.541259765625,1600.75634765625
30,1242.360107421875,1590.736572265625
31,1233.2735595703125,1580.922119140625
32,1224.36181640625,1570.9659423828125
33,1215.2943115234375,1560.635498046875
34,1206.265625,1549.643798828125
35,1197.1436767578125,1537.92626953125
36,1187.36083984375,1525.9931640625
37,1177.82568359375,1513.338134765625
38,1167.385009765625,1499.9833984375
39,1156.7220458984375,1484.8916015625
40,1144.3392333984375,1468.0771484375
41,1131.4627685546875,1448.08349609375
42,1117.81298828125,1426.44873046875
43,1102.350830078125,1403.41357421875
44,1085.050537109375,1375.330322265625
45,1064.2060546875,1344.5577392578125
46,1042.0576171875,1309.2864990234375
47,1015.8671264648438,1269.2994384765625
48,987.43310546875,1226.228515625
49,955.3631591796875,1179.6448974609375
50,921.3994750976562,1124.0267333984375
51,884.4972534179688,1065.998779296875
52,845.7183837890625,1010.2256469726562
53,806.6593017578125,955.2526245117188
54,768.7852172851562,900.7719116210938
55,733.52392578125,846.0167236328125
56,701.4468994140625,792.2202758789062
57,670.8980712890625,746.6371459960938
58,646.0899658203125,707.3327026367188
59,622.7109985351562,679.6731567382812
60,605.0121459960938,648.5738525390625
61,587.4631958007812,620.9437866210938
62,571.6165161132812,600.6442260742188
63,558.5718994140625,576.4330444335938
64,545.7735595703125,561.1370239257812
65,536.3005981445312,542.7779541015625
66,523.9082641601562,532.185302734375
67,514.2153930664062,523.2791137695312
68,505.20001220703125,511.9082946777344
69,495.5671691894531,499.2761535644531
70,486.7091979980469,489.8330383300781
71,478.2431335449219,480.3354797363281
72,471.1046142578125,467.2196044921875
73,461.8481750488281,459.34906005859375
74,454.13848876953125,450.0417175292969
75,446.1383361816406,444.5483703613281
76,439.5348205566406,436.7072448730469
77,431.6455383300781,429.61212158203125
78,424.6251525878906,420.6910705566406
79,417.1783752441406,412.1712646484375
80,410.4773864746094,404.5338134765625
81,403.9403076171875,399.4907531738281
82,397.9736022949219,389.6843566894531
83,391.86907958984375,387.9318542480469
84,385.3751525878906,379.8800964355469
85,378.9698791503906,376.29876708984375
86,374.1421203613281,365.9128723144531
87,366.8751220703125,360.80084228515625
88,360.91058349609375,356.5332946777344
89,355.6094970703125,347.24346923828125
90,349.2776794433594,343.9872131347656
91,343.4301452636719,335.8607177734375
92,337.6925354003906,328.2274169921875
93,332.0845947265625,323.183349609375
94,326.5950927734375,318.69110107421875
95,320.82513427734375,313.88134765625
96,315.33319091796875,308.9625244140625
97,310.61431884765625,301.3992614746094
98,304.26971435546875,296.33837890625
99,298.84674072265625,292.0892028808594
100,293.9398193359375,287.46649169921875
