epoch,loss_train,loss_val
1,3388.003662109375,2311.520751953125
2,3169.90673828125,2148.806396484375
3,2978.779052734375,2004.8902587890625
4,2801.892333984375,1884.62939453125
5,2642.99267578125,1778.014404296875
6,2507.845947265625,1680.6810302734375
7,2380.03466796875,1593.82373046875
8,2267.129638671875,1511.7452392578125
9,2162.970458984375,1439.031494140625
10,2067.889404296875,1375.181884765625
11,1985.2237548828125,1314.5814208984375
12,1907.1854248046875,1262.492431640625
13,1841.2862548828125,1212.9122314453125
14,1778.5540771484375,1171.029052734375
15,1722.016357421875,1137.0010986328125
16,1672.5032958984375,1106.49658203125
17,1629.3624267578125,1078.517333984375
18,1589.2728271484375,1058.0810546875
19,1556.031982421875,1042.3656005859375
20,1525.6732177734375,1029.9285888671875
21,1500.92431640625,1018.439697265625
22,1480.7823486328125,1008.3511352539062
23,1464.9693603515625,999.0701293945312
24,1451.3001708984375,992.5839233398438
25,1440.3572998046875,987.510009765625
26,1431.011962890625,984.9364013671875
27,1423.1593017578125,983.0712890625
28,1415.731201171875,981.2920532226562
29,1409.76318359375,979.7258911132812
30,1405.20654296875,978.1766967773438
31,1401.046875,976.77783203125
32,1397.3876953125,975.3828125
33,1393.876708984375,974.0670166015625
34,1391.0909423828125,972.96142578125
35,1389.25830078125,971.8978271484375
36,1387.5631103515625,970.8759765625
37,1385.9437255859375,969.8248901367188
38,1384.381103515625,968.7215576171875
39,1382.8271484375,967.7423095703125
40,1381.4320068359375,966.7550048828125
41,1380.00390625,965.7991943359375
42,1378.5740966796875,964.84033203125
43,1377.2568359375,963.7506713867188
44,1375.8369140625,962.7708129882812
45,1374.5491943359375,961.8591918945312
46,1373.3642578125,960.9585571289062
47,1372.161865234375,960.0698852539062
48,1371.1373291015625,959.0947265625
49,1370.0670166015625,958.2403564453125
50,1369.0911865234375,957.4445190429688
51,1368.1641845703125,956.6142578125
52,1367.218017578125,955.8057861328125
53,1366.2987060546875,954.9853515625
54,1365.351806640625,954.2107543945312
55,1364.4710693359375,953.4139404296875
56,1363.5333251953125,952.6444091796875
57,1362.607666015625,951.88623046875
58,1361.7364501953125,951.0582885742188
59,1360.78662109375,950.2759399414062
60,1359.876708984375,949.4851684570312
61,1358.96728515625,948.6776733398438
62,1358.04345703125,947.8653564453125
63,1357.09326171875,947.0918579101562
64,1356.147705078125,946.4348754882812
65,1355.2625732421875,945.7706298828125
66,1354.3543701171875,945.1195678710938
67,1353.5052490234375,944.4641723632812
68,1352.6783447265625,943.7814331054688
69,1351.83740234375,943.118408203125
70,1350.9776611328125,942.4620361328125
71,1350.136962890625,941.7996826171875
72,1349.3079833984375,941.1392211914062
73,1348.4603271484375,940.4717407226562
74,1347.6165771484375,939.8212280273438
75,1346.7708740234375,939.1796875
76,1345.95068359375,938.5180053710938
77,1345.1170654296875,937.8455810546875
78,1344.23876953125,937.1947021484375
79,1343.410400390625,936.52392578125
80,1342.5516357421875,935.8682861328125
81,1341.6976318359375,935.1965942382812
82,1340.849853515625,934.530029296875
83,1339.995849609375,933.8557739257812
84,1339.1307373046875,933.2015991210938
85,1338.289306640625,932.53955078125
86,1337.4320068359375,931.9043579101562
87,1336.612548828125,931.243408203125
88,1335.74951171875,930.5709228515625
89,1334.9022216796875,929.9156494140625
90,1334.067138671875,929.2593994140625
91,1333.2491455078125,928.5848388671875
92,1332.3978271484375,927.9182739257812
93,1331.5758056640625,927.25341796875
94,1330.7427978515625,926.6009521484375
95,1329.917724609375,925.9329223632812
96,1329.0859375,925.2636108398438
97,1328.24755859375,924.6023559570312
98,1327.42724609375,923.94140625
99,1326.6055908203125,923.280029296875
100,1325.7705078125,922.6178588867188
