epoch,loss_train,loss_val
1,1180.1414794921875,1016.2727661132812
2,1011.6998901367188,853.2039184570312
3,862.8832397460938,715.0308227539062
4,743.2596435546875,597.4635009765625
5,638.2664184570312,504.06280517578125
6,559.8892822265625,426.10205078125
7,487.2772216796875,368.9645080566406
8,428.7012939453125,318.0367431640625
9,380.31451416015625,277.28118896484375
10,338.2465515136719,248.4785919189453
11,306.2215270996094,225.55238342285156
12,280.9136962890625,207.1715087890625
13,260.9419250488281,192.4047393798828
14,244.51414489746094,180.48760986328125
15,230.59669494628906,170.51382446289062
16,218.0287322998047,161.3951873779297
17,207.11131286621094,152.3539276123047
18,196.67279052734375,145.02859497070312
19,187.36553955078125,137.63206481933594
20,178.51197814941406,130.78298950195312
21,170.1134490966797,124.33927917480469
22,162.34254455566406,118.25563049316406
23,154.94471740722656,112.7720718383789
24,147.87220764160156,107.38136291503906
25,140.9219207763672,102.23807525634766
26,134.15887451171875,97.58618927001953
27,128.0408935546875,93.12265014648438
28,122.0447769165039,88.36534881591797
29,116.34405517578125,84.10385131835938
30,111.30388641357422,80.2661361694336
31,105.53890991210938,76.38239288330078
32,100.57908630371094,72.72352600097656
33,95.58867645263672,69.05648803710938
34,91.17298889160156,65.46516418457031
35,86.60781860351562,62.4421272277832
36,82.48078155517578,59.8505859375
37,78.34727478027344,56.72431564331055
38,74.46088409423828,54.077674865722656
39,70.7105712890625,51.5045280456543
40,67.18238067626953,49.073917388916016
41,63.89955520629883,46.74079513549805
42,60.627906799316406,44.655029296875
43,57.75836944580078,42.67903518676758
44,55.234283447265625,41.03114700317383
45,52.366817474365234,39.13037872314453
46,49.97834396362305,37.694393157958984
47,47.825462341308594,36.510345458984375
48,45.65937042236328,35.23069381713867
49,43.81576156616211,34.04899597167969
50,42.06113815307617,33.08100891113281
51,40.40483093261719,32.35839080810547
52,39.00131607055664,31.69130516052246
53,37.67748260498047,30.748340606689453
54,36.47196578979492,30.28346824645996
55,35.28578567504883,29.6510009765625
56,34.329158782958984,29.12598991394043
57,33.369171142578125,29.008813858032227
58,32.76182174682617,28.73301124572754
59,31.75160026550293,27.97248077392578
60,31.236024856567383,27.537275314331055
61,30.82120132446289,27.538902282714844
62,30.261486053466797,27.23995590209961
63,29.643049240112305,27.37060546875
64,29.362960815429688,27.641401290893555
65,28.969945907592773,27.358680725097656
66,28.648008346557617,27.020986557006836
67,28.260637283325195,26.68867301940918
68,28.13005828857422,26.706668853759766
69,27.855012893676758,26.67252540588379
70,27.57097053527832,26.66130828857422
71,27.416597366333008,26.570159912109375
72,27.241662979125977,26.64529800415039
73,27.070695877075195,26.71086883544922
74,26.91800880432129,26.608129501342773
75,26.809057235717773,26.36329460144043
76,26.604795455932617,26.714170455932617
77,26.494449615478516,26.558902740478516
78,26.345584869384766,26.686079025268555
79,26.24931526184082,26.56707000732422
80,26.215150833129883,26.484325408935547
81,26.110183715820312,26.401933670043945
82,25.98215103149414,26.287569046020508
83,25.920455932617188,26.445762634277344
84,25.811891555786133,26.328134536743164
85,25.738590240478516,26.2331600189209
86,25.72226333618164,26.23611068725586
87,25.924184799194336,26.64127540588379
88,25.562156677246094,26.222076416015625
89,25.491016387939453,26.277719497680664
90,25.700864791870117,25.941082000732422
91,25.40422248840332,26.221397399902344
92,25.277462005615234,26.101566314697266
93,25.319202423095703,25.940025329589844
94,25.263320922851562,26.35237693786621
95,25.282363891601562,25.910232543945312
96,25.097253799438477,25.92072296142578
97,25.074222564697266,25.431413650512695
98,24.985713958740234,25.534276962280273
99,24.89806365966797,25.57941436767578
100,24.807456970214844,25.658628463745117
